Carimbo de data/hora,Você já comprou algum imóvel em Vitória ou Vila Velha?,Bairro onde comprou o imóvel:,"Qual sua idade? Ex: """"20""""",1)   Qual(is) local(is) ou método(s) você mais utiliza quando vai pesquisar algum imóvel para comprar?,2)   Você considera esses métodos de pesquisa/atendimento eficientes ou acredita que poderiam ser melhores? (Relacionado ao que foi marcado na pergunta anterior),"3)   Se já foi atendido por alguma imobiliária, qual nota você daria para esse atendimento? ","4)   Se já foi atendido por algum corretor independente, qual nota você daria para esse atendimento? (em média, caso tenha sido atendido por mais de um)","5)   Gostaria de ter a possibilidade de escolher, através de uma apresentação e histórico de avaliações de outros consumidores, o corretor imobiliário que vai te auxiliar na busca por algum imóvel? (Como Ifood e Booking, notas, nível de avaliação, comentários)",6)   Qual sua opinião sobre os valores cobrados na corretagem de imóveis? (Atualmente na média de 5% do valor do imóvel),"7)   Usaria uma plataforma (digital) que te desse a possibilidade de escolher o corretor de imóvel mais alinhado ao seu perfil, te auxiliando do início ao final da operação com qualidade e segurança, sem custo adicional e oferecendo desconto na comissão?",e-mail/telefone para contato
2024/09/22 4:37:28 PM GMT-3,Sim,Itapuã,48,b)   Imobiliária.,São eficientes e não precisam melhorar.,5 (muito bom),5 (muito bom),"Sim, gostaria.",b) Considero alto.,b) Sim.,nome@gamil.com
2024/09/22 4:40:45 PM GMT-3,Sim,Praia da Costa,51,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...)",São eficientes e não precisam melhorar.,4 (bom),4 (bom),"Sim, gostaria.",b) Considero alto.,a) Com certeza.,nome@gamil.com
2024/09/22 4:44:46 PM GMT-3,Sim,Itapuã,60,Consultor,São eficientes e não precisam melhorar.,Nunca fui atendido por imobiliárias.,Nunca fui atendido por corretores independentes.,Talvez.,a) Acho justo o valor cobrado.,"c) Não, prefiro ir pessoalmente em uma imobiliária ou corretor.",nome@gamil.com
2024/09/22 4:48:31 PM GMT-3,Sim,Itapuã,41,"e)   Placas, anúncios, ...",São eficientes e não precisam melhorar.,Nunca fui atendido por imobiliárias.,Nunca fui atendido por corretores independentes.,"Sim, gostaria.",a) Acho justo o valor cobrado.,b) Sim.,nome@gamil.com
2024/09/22 4:53:06 PM GMT-3,Sim,Ataíde,,"","","","","","","",""
2024/09/22 4:56:27 PM GMT-3,Sim,Itapuã,44,d)   Corretor autônomo.,São eficientes e não precisam melhorar.,4 (bom),5 (muito bom),"Sim, gostaria.",b) Considero alto.,b) Sim.,nome@gamil.com
2024/09/22 5:04:35 PM GMT-3,Sim,Praia da Costa,44,b)   Imobiliária.,"São bons, mas podem melhorar.",3 (razoável),3 (razoável),"Sim, gostaria.",a) Acho justo o valor cobrado.,a) Com certeza.,nome@gamil.com
2024/09/22 5:07:00 PM GMT-3,Sim,Itapuã,50,b)   Imobiliária.,São eficientes e não precisam melhorar.,5 (muito bom),5 (muito bom),"Sim, gostaria.",a) Acho justo o valor cobrado.,"c) Não, prefiro ir pessoalmente em uma imobiliária ou corretor.",nome@gamil.com
2024/09/22 5:24:17 PM GMT-3,Sim,Praia da Costa,63,"e)   Placas, anúncios, ...",São eficientes e não precisam melhorar.,5 (muito bom),5 (muito bom),"Sim, gostaria.",a) Acho justo o valor cobrado.,b) Sim.,nome@gamil.com
2024/09/22 5:36:44 PM GMT-3,Sim,Itapuã,33,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...)","São bons, mas podem melhorar.",Nunca fui atendido por imobiliárias.,Nunca fui atendido por corretores independentes.,Talvez.,a) Acho justo o valor cobrado.,a) Com certeza.,nome@gamil.com
2024/09/22 5:43:18 PM GMT-3,Sim,Praia do Canto,33,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.","Não são eficientes, mas podem melhorar.",4 (bom),Nunca fui atendido por corretores independentes.,"Sim, gostaria.",a) Acho justo o valor cobrado.,b) Sim.,nome@gamil.com
2024/09/22 6:18:29 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/22 6:27:33 PM GMT-3,Sim,Alvorada ,,"","","","","","","",""
2024/09/22 6:35:19 PM GMT-3,Sim,Cobilandia,,"","","","","","","",""
2024/09/22 6:53:10 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/22 6:53:25 PM GMT-3,Sim,Vale Encantado ,,"","","","","","","",""
2024/09/22 6:53:28 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/22 8:40:14 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/22 8:41:06 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/23 1:10:57 AM GMT-3,Não,"",,"","","","","","","",""
2024/09/23 3:56:19 AM GMT-3,Não,"",,"","","","","","","",""
2024/09/23 5:06:29 AM GMT-3,Não,"",,"","","","","","","",""
2024/09/23 5:37:07 AM GMT-3,Não,"",,"","","","","","","",""
2024/09/23 6:04:13 AM GMT-3,Sim,Praia da Costa,20,"d)   Corretor autônomo.;f)   Redes sociais: Instagram, Facebook, ...","São bons, mas podem melhorar.",4 (bom),5 (muito bom),"Sim, gostaria.",a) Acho justo o valor cobrado.,a) Com certeza.,nome@gamil.com
2024/09/23 7:24:38 AM GMT-3,Não,"",,"","","","","","","",""
2024/09/23 7:45:36 AM GMT-3,Não,"",,"","","","","","","",""
2024/09/23 7:58:11 AM GMT-3,Sim,Jabour,,"","","","","","","",""
2024/09/23 8:07:08 AM GMT-3,Sim,Vila Nova,,"","","","","","","",""
2024/09/23 8:21:32 AM GMT-3,Sim,Jardim Camburi,46,"e)   Placas, anúncios, ...;f)   Redes sociais: Instagram, Facebook, ...",Não são eficientes e não acho que podem melhorar.,2 (ruim),4 (bom),"Sim, gostaria.",b) Considero alto.,a) Com certeza.,nome@gamil.com
2024/09/23 8:30:08 AM GMT-3,Sim,Centro Histórico de Vitória,,"","","","","","","",""
2024/09/23 8:46:32 AM GMT-3,Sim,Enseada do Suá,22,g) Dicas de familiares e amigos.,"São bons, mas podem melhorar.",Nunca fui atendido por imobiliárias.,Nunca fui atendido por corretores independentes.,Não gostaria.,b) Considero alto.,a) Com certeza.,nome@gamil.com
2024/09/23 8:48:45 AM GMT-3,Sim,Cobilândia ,,"","","","","","","",""
2024/09/23 9:45:34 AM GMT-3,Não,"",,"","","","","","","",""
2024/09/23 10:59:18 AM GMT-3,Não,"",,"","","","","","","",""
2024/09/23 11:03:20 AM GMT-3,Não,"",,"","","","","","","",""
2024/09/23 12:00:15 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/23 12:07:38 PM GMT-3,Sim,Centro,,"","","","","","","",""
2024/09/23 12:53:15 PM GMT-3,Sim,Praia das gaivotas ,,"","","","","","","",""
2024/09/23 12:54:00 PM GMT-3,Sim,Ilha dos bentos,,"","","","","","","",""
2024/09/23 12:54:53 PM GMT-3,Sim,Praia de Itaparica,25,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);f)   Redes sociais: Instagram, Facebook, ...","São bons, mas podem melhorar.",4 (bom),5 (muito bom),Talvez.,d) Não tenho uma opinião.,d) Não tenho interesse.,nome@gamil.com
2024/09/23 8:28:21 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/24 3:38:28 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/24 8:50:48 PM GMT-3,Sim,Jardim Camburi,57,b)   Imobiliária.,"São bons, mas podem melhorar.",4 (bom),4 (bom),Talvez.,b) Considero alto.,a) Com certeza.,nome@gamil.com
2024/09/25 12:54:23 PM GMT-3,Sim,Jardim da Penha,35,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.;f)   Redes sociais: Instagram, Facebook, ...","São bons, mas podem melhorar.",4 (bom),3 (razoável),"Sim, gostaria.",b) Considero alto.,a) Com certeza.,nome@gamil.com
2024/09/27 7:44:02 AM GMT-3,Não,"",,"","","","","","","",""
2024/09/27 6:56:01 PM GMT-3,Sim,Jardim Camburi,53,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);e)   Placas, anúncios, ...","São bons, mas podem melhorar.",3 (razoável),3 (razoável),"Sim, gostaria.",b) Considero alto.,b) Sim.,nome@gamil.com
2024/09/27 6:56:27 PM GMT-3,Sim,Jardim Camburi,37,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.;g) Dicas de familiares e amigos.","São bons, mas podem melhorar.",4 (bom),3 (razoável),"Sim, gostaria.",b) Considero alto.,a) Com certeza.,nome@gamil.com
2024/09/27 6:57:37 PM GMT-3,Sim,Jardim Camburi,32,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...)","São bons, mas podem melhorar.",3 (razoável),4 (bom),"Sim, gostaria.",b) Considero alto.,a) Com certeza.,nome@gamil.com
2024/09/27 6:57:56 PM GMT-3,Sim,Jardim Camburi,37,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);d)   Corretor autônomo.;f)   Redes sociais: Instagram, Facebook, ...","São bons, mas podem melhorar.",2 (ruim),5 (muito bom),Não gostaria.,b) Considero alto.,d) Não tenho interesse.,nome@gamil.com
2024/09/27 6:58:17 PM GMT-3,Sim,Jardim Camburi,60,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...)","São bons, mas podem melhorar.",4 (bom),4 (bom),Talvez.,b) Considero alto.,b) Sim.,nome@gamil.com
2024/09/27 7:06:36 PM GMT-3,Sim,Elio ferraço,,"","","","","","","",""
2024/09/27 7:06:56 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/27 7:08:51 PM GMT-3,Sim,Jardim Camburi,40,"b)   Imobiliária.;f)   Redes sociais: Instagram, Facebook, ...","São bons, mas podem melhorar.",3 (razoável),Nunca fui atendido por corretores independentes.,Talvez.,d) Não tenho uma opinião.,b) Sim.,nome@gamil.com
2024/09/27 7:09:19 PM GMT-3,Sim,Jardim Camburi,55,c)   Engenheiro ou construtor.,"São bons, mas podem melhorar.",Nunca fui atendido por imobiliárias.,Nunca fui atendido por corretores independentes.,"Sim, gostaria.",a) Acho justo o valor cobrado.,a) Com certeza.,nome@gamil.com
2024/09/27 7:09:54 PM GMT-3,Sim,Barro Vermelho,45,g) Dicas de familiares e amigos.,"São bons, mas podem melhorar.",5 (muito bom),5 (muito bom),"Sim, gostaria.",a) Acho justo o valor cobrado.,a) Com certeza.,nome@gamil.com
2024/09/27 7:10:40 PM GMT-3,Sim,Jardim Camburi,51,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...)","São bons, mas podem melhorar.",Nunca fui atendido por imobiliárias.,4 (bom),Não gostaria.,a) Acho justo o valor cobrado.,d) Não tenho interesse.,nome@gamil.com
2024/09/27 7:13:46 PM GMT-3,Sim,Jardim Camburi,38,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...)","São bons, mas podem melhorar.",3 (razoável),4 (bom),Talvez.,b) Considero alto.,"c) Não, prefiro ir pessoalmente em uma imobiliária ou corretor.",nome@gamil.com
2024/09/27 7:14:07 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/27 7:18:18 PM GMT-3,Sim,Jardim Camburi,34,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...)","São bons, mas podem melhorar.",3 (razoável),4 (bom),"Sim, gostaria.",b) Considero alto.,a) Com certeza.,nome@gamil.com
2024/09/27 8:07:35 PM GMT-3,Sim,Praia do Canto,36,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.;g) Dicas de familiares e amigos.","São bons, mas podem melhorar.",5 (muito bom),5 (muito bom),"Sim, gostaria.",a) Acho justo o valor cobrado.,a) Com certeza.,nome@gamil.com
2024/09/27 8:08:32 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/27 8:09:27 PM GMT-3,Sim,Jardim Camburi,37,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.;f)   Redes sociais: Instagram, Facebook, ...",São eficientes e não precisam melhorar.,4 (bom),Nunca fui atendido por corretores independentes.,Não gostaria.,b) Considero alto.,d) Não tenho interesse.,nome@gamil.com
2024/09/27 8:11:41 PM GMT-3,Sim,Jardim Camburi,36,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);d)   Corretor autônomo.","São bons, mas podem melhorar.",3 (razoável),5 (muito bom),"Sim, gostaria.",b) Considero alto.,b) Sim.,nome@gamil.com
2024/09/27 8:14:23 PM GMT-3,Sim,Jardim Camburi,47,b)   Imobiliária.,"São bons, mas podem melhorar.",4 (bom),5 (muito bom),Talvez.,b) Considero alto.,"c) Não, prefiro ir pessoalmente em uma imobiliária ou corretor.",nome@gamil.com
2024/09/27 8:14:38 PM GMT-3,Sim,Jardim Camburi,46,b)   Imobiliária.,"São bons, mas podem melhorar.",4 (bom),4 (bom),"Sim, gostaria.",b) Considero alto.,b) Sim.,nome@gamil.com
2024/09/27 8:30:51 PM GMT-3,Sim,Jardim da Penha,38,d)   Corretor autônomo.,"São bons, mas podem melhorar.",3 (razoável),4 (bom),"Sim, gostaria.",d) Não tenho uma opinião.,b) Sim.,nome@gamil.com
2024/09/27 8:30:51 PM GMT-3,Sim,Jardim Camburi,46,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...)",São eficientes e não precisam melhorar.,4 (bom),5 (muito bom),Talvez.,a) Acho justo o valor cobrado.,b) Sim.,nome@gamil.com
2024/09/27 8:32:08 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/27 8:32:46 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/27 8:33:43 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/27 8:34:49 PM GMT-3,Não,"",,"","","","","","","",""
2024/09/28 11:02:02 AM GMT-3,Sim,Jardim Camburi,35,b)   Imobiliária.,"São bons, mas podem melhorar.",5 (muito bom),Nunca fui atendido por corretores independentes.,"Sim, gostaria.",b) Considero alto.,a) Com certeza.,nome@gamil.com
2024/09/28 11:06:11 AM GMT-3,Sim,Jardim da Penha,50,g) Dicas de familiares e amigos.,"São bons, mas podem melhorar.",5 (muito bom),5 (muito bom),"Sim, gostaria.",a) Acho justo o valor cobrado.,a) Com certeza.,nome@gamil.com
2024/09/30 10:26:29 AM GMT-3,Sim,Jardim da Penha,66,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...)","São bons, mas podem melhorar.",3 (razoável),4 (bom),Não gostaria.,c) Considero extremamente elevado.,a) Com certeza.,nome@gamil.com
2024/10/02 9:50:47 PM GMT-3,Não,"",,"","","","","","","",""
2024/10/02 10:00:17 PM GMT-3,Sim,Bento ferreira,,"","","","","","","",""
2024/10/02 11:03:49 PM GMT-3,Sim,Barro Vermelho,55,d)   Corretor autônomo.,"São bons, mas podem melhorar.",Nunca fui atendido por imobiliárias.,5 (muito bom),Não gostaria.,d) Não tenho uma opinião.,"c) Não, prefiro ir pessoalmente em uma imobiliária ou corretor.",nome@gamil.com
2024/10/02 11:12:52 PM GMT-3,Sim,Praia de Itaparica,55,d)   Corretor autônomo.,"São bons, mas podem melhorar.",3 (razoável),4 (bom),Talvez.,d) Não tenho uma opinião.,a) Com certeza.,nome@gamil.com
2024/10/03 6:06:17 AM GMT-3,Sim,Ilha do Boi,55,g) Dicas de familiares e amigos.,"São bons, mas podem melhorar.",4 (bom),4 (bom),"Sim, gostaria.",c) Considero extremamente elevado.,b) Sim.,nome@gamil.com
2024/10/03 6:47:06 AM GMT-3,Sim,Jardim da Penha,55,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...)","São bons, mas podem melhorar.",5 (muito bom),5 (muito bom),"Sim, gostaria.",a) Acho justo o valor cobrado.,"c) Não, prefiro ir pessoalmente em uma imobiliária ou corretor.",nome@gamil.com
2024/10/03 7:18:02 AM GMT-3,Sim,Santos Dumont ,,"","","","","","","",""
2024/10/03 8:01:16 AM GMT-3,Sim,Jardim Camburi,56,b)   Imobiliária.;d)   Corretor autônomo.,"São bons, mas podem melhorar.",4 (bom),4 (bom),"Sim, gostaria.",a) Acho justo o valor cobrado.,a) Com certeza.,nome@gamil.com
2024/10/03 8:21:10 AM GMT-3,Sim,Barro Vermelho,55,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...)","São bons, mas podem melhorar.",5 (muito bom),Nunca fui atendido por corretores independentes.,"Sim, gostaria.",a) Acho justo o valor cobrado.,a) Com certeza.,nome@gamil.com
2024/10/03 10:46:26 AM GMT-3,Sim,Itapuã,57,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.;g) Dicas de familiares e amigos.","São bons, mas podem melhorar.",3 (razoável),3 (razoável),Não gostaria.,c) Considero extremamente elevado.,a) Com certeza.,nome@gamil.com
2024/10/03 11:51:08 PM GMT-3,Sim,Enseada do Suá,54,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.;g) Dicas de familiares e amigos.","São bons, mas podem melhorar.",4 (bom),Nunca fui atendido por corretores independentes.,"Sim, gostaria.",b) Considero alto.,b) Sim.,nome@gamil.com
2024/10/05 5:12:26 PM GMT-3,Sim,Enseada do Suá,43,"e)   Placas, anúncios, ...;g) Dicas de familiares e amigos.",São eficientes e não precisam melhorar.,Nunca fui atendido por imobiliárias.,Nunca fui atendido por corretores independentes.,Não gostaria.,a) Acho justo o valor cobrado.,"c) Não, prefiro ir pessoalmente em uma imobiliária ou corretor.",nome@gamil.com
2024/10/08 2:58:26 PM GMT-3,Sim,Itapuã,54,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.","Não são eficientes, mas podem melhorar.",1 (muito ruim),2 (ruim),"Sim, gostaria.",a) Acho justo o valor cobrado.,b) Sim.,nome@gamil.com
2024/10/08 5:15:09 PM GMT-3,Sim,Jardim da Penha,57,b)   Imobiliária.,Não são eficientes e não acho que podem melhorar.,3 (razoável),Nunca fui atendido por corretores independentes.,"Sim, gostaria.",a) Acho justo o valor cobrado.,a) Com certeza.,nome@gamil.com
2024/10/08 5:22:37 PM GMT-3,Sim,Barro Vermelho,58,d)   Corretor autônomo.,"São bons, mas podem melhorar.",Nunca fui atendido por imobiliárias.,4 (bom),Não gostaria.,b) Considero alto.,d) Não tenho interesse.,nome@gamil.com
2024/10/08 5:26:14 PM GMT-3,Sim,Barro Vermelho,58,Amigo corretor,São eficientes e não precisam melhorar.,Nunca fui atendido por imobiliárias.,4 (bom),Não gostaria.,b) Considero alto.,d) Não tenho interesse.,nome@gamil.com
2024/10/08 5:32:00 PM GMT-3,Sim,Mata da Praia,35,b)   Imobiliária.,"São bons, mas podem melhorar.",5 (muito bom),Nunca fui atendido por corretores independentes.,"Sim, gostaria.",a) Acho justo o valor cobrado.,b) Sim.,nome@gamil.com
2024/10/08 5:45:01 PM GMT-3,Sim,Jardim da Penha,46,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.","São bons, mas podem melhorar.",4 (bom),Nunca fui atendido por corretores independentes.,"Sim, gostaria.",a) Acho justo o valor cobrado.,a) Com certeza.,nome@gamil.com
2024/10/08 5:49:33 PM GMT-3,Sim,Jardim da Penha,37,b)   Imobiliária.,São eficientes e não precisam melhorar.,5 (muito bom),Nunca fui atendido por corretores independentes.,"Sim, gostaria.",b) Considero alto.,a) Com certeza.,nome@gamil.com
2024/10/08 5:52:49 PM GMT-3,Sim,Jardim da Penha,65,"e)   Placas, anúncios, ...","São bons, mas podem melhorar.",4 (bom),Nunca fui atendido por corretores independentes.,"Sim, gostaria.",c) Considero extremamente elevado.,a) Com certeza.,nome@gamil.com
2024/10/08 5:57:21 PM GMT-3,Sim,Enseada do Suá,47,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.","São bons, mas podem melhorar.",5 (muito bom),Nunca fui atendido por corretores independentes.,"Sim, gostaria.",c) Considero extremamente elevado.,a) Com certeza.,nome@gamil.com
2024/10/08 6:00:31 PM GMT-3,Sim,Jardim da Penha,55,b)   Imobiliária.,"São bons, mas podem melhorar.",4 (bom),Nunca fui atendido por corretores independentes.,"Sim, gostaria.",c) Considero extremamente elevado.,a) Com certeza.,nome@gamil.com
2024/10/08 6:02:01 PM GMT-3,Sim,Jardim da Penha,53,b)   Imobiliária.,São eficientes e não precisam melhorar.,4 (bom),Nunca fui atendido por corretores independentes.,"Sim, gostaria.",c) Considero extremamente elevado.,a) Com certeza.,nome@gamil.com
2024/10/08 6:06:57 PM GMT-3,Sim,Jardim Camburi,62,b)   Imobiliária.,"Não são eficientes, mas podem melhorar.",1 (muito ruim),Nunca fui atendido por corretores independentes.,"Sim, gostaria.",c) Considero extremamente elevado.,a) Com certeza.,nome@gamil.com
2024/10/08 6:10:30 PM GMT-3,Sim,Praia da Costa,39,d)   Corretor autônomo.,"São bons, mas podem melhorar.",Nunca fui atendido por imobiliárias.,5 (muito bom),"Sim, gostaria.",c) Considero extremamente elevado.,a) Com certeza.,nome@gamil.com
2024/10/08 6:15:44 PM GMT-3,Sim,Praia do Canto,44,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.;g) Dicas de familiares e amigos.",São eficientes e não precisam melhorar.,5 (muito bom),5 (muito bom),Não gostaria.,a) Acho justo o valor cobrado.,b) Sim.,nome@gamil.com
2024/10/08 6:19:31 PM GMT-3,Sim,Praia de Itaparica,54,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...)",São eficientes e não precisam melhorar.,Nunca fui atendido por imobiliárias.,Nunca fui atendido por corretores independentes.,"Sim, gostaria.",a) Acho justo o valor cobrado.,b) Sim.,nome@gamil.com
2024/10/08 6:24:40 PM GMT-3,Sim,Jardim Camburi,59,b)   Imobiliária.,São eficientes e não precisam melhorar.,5 (muito bom),Nunca fui atendido por corretores independentes.,"Sim, gostaria.",c) Considero extremamente elevado.,"c) Não, prefiro ir pessoalmente em uma imobiliária ou corretor.",nome@gamil.com
2024/10/08 6:28:50 PM GMT-3,Sim,Praia da Costa,53,"d)   Corretor autônomo.;e)   Placas, anúncios, ...","São bons, mas podem melhorar.",Nunca fui atendido por imobiliárias.,5 (muito bom),"Sim, gostaria.",c) Considero extremamente elevado.,a) Com certeza.,nome@gamil.com
2024/10/08 7:13:50 PM GMT-3,Sim,Praia do Canto,55,"b)   Imobiliária.;e)   Placas, anúncios, ...",São eficientes e não precisam melhorar.,5 (muito bom),5 (muito bom),"Sim, gostaria.",c) Considero extremamente elevado.,a) Com certeza.,nome@gamil.com
2024/10/08 7:21:48 PM GMT-3,Sim,Barro Vermelho,65,"d)   Corretor autônomo.;e)   Placas, anúncios, ...;g) Dicas de familiares e amigos.",São eficientes e não precisam melhorar.,Nunca fui atendido por imobiliárias.,4 (bom),"Sim, gostaria.",b) Considero alto.,a) Com certeza.,nome@gamil.com
2024/10/08 7:25:33 PM GMT-3,Sim,Praia de Itaparica,32,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...)",São eficientes e não precisam melhorar.,Nunca fui atendido por imobiliárias.,Nunca fui atendido por corretores independentes.,"Sim, gostaria.",a) Acho justo o valor cobrado.,a) Com certeza.,nome@gamil.com
2024/10/08 7:34:39 PM GMT-3,Sim,Mata da Praia,61,"e)   Placas, anúncios, ...",São eficientes e não precisam melhorar.,4 (bom),5 (muito bom),"Sim, gostaria.",b) Considero alto.,a) Com certeza.,nome@gamil.com
2024/10/08 7:39:58 PM GMT-3,Sim,Jardim Camburi,56,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...)",São eficientes e não precisam melhorar.,3 (razoável),4 (bom),"Sim, gostaria.",b) Considero alto.,a) Com certeza.,nome@gamil.com
2024/10/08 7:47:50 PM GMT-3,Sim,Jardim Camburi,39,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.","São bons, mas podem melhorar.",5 (muito bom),Nunca fui atendido por corretores independentes.,Talvez.,b) Considero alto.,a) Com certeza.,nome@gamil.com
2024/10/08 7:48:09 PM GMT-3,Sim,Jardim da Penha,64,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.;e)   Placas, anúncios, ...","Não são eficientes, mas podem melhorar.",5 (muito bom),Nunca fui atendido por corretores independentes.,"Sim, gostaria.",a) Acho justo o valor cobrado.,a) Com certeza.,nome@gamil.com
2024/10/08 7:49:56 PM GMT-3,Sim,Jardim Camburi,46,"e)   Placas, anúncios, ...",São eficientes e não precisam melhorar.,2 (ruim),2 (ruim),"Sim, gostaria.",c) Considero extremamente elevado.,a) Com certeza.,nome@gamil.com
2024/10/08 7:58:44 PM GMT-3,Sim,Praia de Itaparica,36,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.","São bons, mas podem melhorar.",2 (ruim),5 (muito bom),"Sim, gostaria.",a) Acho justo o valor cobrado.,a) Com certeza.,nome@gamil.com
2024/10/08 8:06:19 PM GMT-3,Sim,Mata da Praia,30,c)   Engenheiro ou construtor.,São eficientes e não precisam melhorar.,Nunca fui atendido por imobiliárias.,2 (ruim),"Sim, gostaria.",a) Acho justo o valor cobrado.,a) Com certeza.,nome@gamil.com
2024/10/12 6:26:25 PM GMT-3,Sim,Jardim da Penha,63,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...)",São eficientes e não precisam melhorar.,5 (muito bom),5 (muito bom),"Sim, gostaria.",a) Acho justo o valor cobrado.,a) Com certeza.,nome@gamil.com
2024/10/12 6:42:34 PM GMT-3,Sim,Mata da Praia,39,"b)   Imobiliária.;d)   Corretor autônomo.;e)   Placas, anúncios, ...",São eficientes e não precisam melhorar.,5 (muito bom),Nunca fui atendido por corretores independentes.,"Sim, gostaria.",b) Considero alto.,b) Sim.,nome@gamil.com
2024/10/12 6:53:34 PM GMT-3,Sim,Jardim da Penha,59,b)   Imobiliária.,São eficientes e não precisam melhorar.,5 (muito bom),Nunca fui atendido por corretores independentes.,"Sim, gostaria.",a) Acho justo o valor cobrado.,b) Sim.,nome@gamil.com
2024/10/12 6:54:31 PM GMT-3,Sim,Jardim da Penha,65,b)   Imobiliária.,São eficientes e não precisam melhorar.,5 (muito bom),Nunca fui atendido por corretores independentes.,"Sim, gostaria.",b) Considero alto.,b) Sim.,nome@gamil.com
2024/10/12 7:02:14 PM GMT-3,Sim,Jardim da Penha,54,b)   Imobiliária.;d)   Corretor autônomo.,São eficientes e não precisam melhorar.,3 (razoável),4 (bom),"Sim, gostaria.",a) Acho justo o valor cobrado.,b) Sim.,nome@gamil.com
2024/10/12 7:14:14 PM GMT-3,Sim,Enseada do Suá,60,"e)   Placas, anúncios, ...",São eficientes e não precisam melhorar.,Nunca fui atendido por imobiliárias.,5 (muito bom),Talvez.,a) Acho justo o valor cobrado.,d) Não tenho interesse.,nome@gamil.com
2024/10/12 7:18:13 PM GMT-3,Sim,Mata da Praia,57,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.","São bons, mas podem melhorar.",3 (razoável),5 (muito bom),"Sim, gostaria.",b) Considero alto.,a) Com certeza.,nome@gamil.com
2024/10/12 7:33:29 PM GMT-3,Sim,Jardim da Penha,34,"a)   Sites de busca online. (OLX, Zap imóveis, VivaReal, ...);b)   Imobiliária.","São bons, mas podem melhorar.",4 (bom),3 (razoável),Não gostaria.,a) Acho justo o valor cobrado.,b) Sim.,nome@gamil.com
2024/10/12 7:38:41 PM GMT-3,Sim,Jardim da Penha,38,b)   Imobiliária.,"São bons, mas podem melhorar.",5 (muito bom),1 (muito ruim),"Sim, gostaria.",a) Acho justo o valor cobrado.,a) Com certeza.,nome@gamil.com
